Title,Author,Score,Ratings,Shelvings,Published
"The English Assassin (Gabriel Allon, #2)",Daniel Silva,4.16,40122,44602,2002
Pompeii,Robert   Harris,3.86,46097,64840,2003
Notorious RBG: The Life and Times of Ruth Bader Ginsburg,Irin Carmon,4.19,59670,171959,2015
The Abolition of Man,C.S. Lewis,4.11,34390,52770,1943
Portrait of a Murderer,Anne  Meredith (Pseudonym),3.38,1129,1739,1933
"Filboid Studge, The Story of a Mouse That Helped",Saki,3.66,122,261,1911
"The Witch Doesn't Burn in This One (Women Are Some Kind of Magic, #2)",Amanda Lovelace,3.73,45137,135835,2018
Death in Midsummer and Other Stories,Yukio Mishima,4.03,4953,11235,1953
The Hours,Michael Cunningham,3.95,141441,221385,1998
Consider Her Ways and Others,John Wyndham,3.75,1692,2685,1956
The House in Good Taste,Elsie De Wolfe,3.77,139,612,1913
Hawaiian Legends of Volcanoes,William Drake Westervelt,3.73,49,87,1916
Don'ts For Husbands,Blanche Ebbutt,3.7,315,594,1913
Ariadne,Jennifer Saint,3.8,115026,359613,2021
In the Miso Soup,Ryū Murakami,3.62,32923,70908,1997
Found Treasure,Grace Livingston Hill,4.2,377,497,1928
The Casuarina Tree,W. Somerset Maugham,4.2,477,743,1926
Columbine,Dave Cullen,4.29,92113,225219,2009
Honor Among Thieves,Jeffrey Archer,3.87,17842,23658,1993
Fever (A Medical Thriller),Robin Cook,3.79,9096,13728,1982
The Bridges at Toko-ri,James A. Michener,4.05,5687,7569,1953
Women Don't Owe You Pretty,Florence Given,3.73,55904,136200,2020
The Rapture of Canaan,Sheri Reynolds,3.83,34513,49692,1995
"The World's Greatest Books, Volume 6: Fiction",Arthur Mee (Editor),3.52,54,203,1910
Psychology: Themes and Variations,Wayne Weiten,3.73,296,518,1900
Quicksand,Jun'ichirō Tanizaki,3.66,3596,6289,1928
The Traveller's Tree: A Journey Through the Caribbean Islands (New York Review Books Classics),Patrick Leigh Fermor,3.87,300,1518,1950
The Biography of a Silver Fox,Ernest Thompson Seton,4.45,73,162,1909
Less Than Zero,Bret Easton Ellis,3.6,86608,143440,1985
"Lion of Ireland (Celtic World of Morgan Llywelyn, 5)",Morgan Llywelyn,4.14,4160,8635,1980
Joyful Noise: Poems for Two Voices,Paul Fleischman,3.98,10735,17873,1988
Coming of Age in Mississippi: The Classic Autobiography of a Young Black Girl in the Rural South,Anne Moody,4.12,11097,22718,1968
The Nice Old Man and the Pretty Girl,Italo Svevo,3.11,728,747,1926
